filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
⑱ RSI5<20 + 出来高1.5倍,10.0,-1.0,1,1737,0.0739,1.09,51.53,0.0413,1737,1.09,51.53,34.54,0.0739,1.7885,0.0413,128.3,241,0.101,0.83,48.96,True
⑱ RSI5<20 + 出来高1.5倍,5.0,-2.0,2,1737,0.0738,10.19,39.55,0.032,1737,10.19,39.55,42.43,0.0738,2.3079,0.032,128.1,231,0.2198,10.82,35.93,True
㉛ 高位株(3000円〜),10.0,-2.0,2,153282,0.0738,1.5,34.5,0.0318,153282,1.5,34.5,44.06,0.0738,2.322,0.0318,11310.1,37525,0.1374,2.19,39.25,True
㉑ スコア>=20 + RSI5<20,3.0,-3.0,5,12034,0.0738,35.32,34.39,0.0284,12034,35.32,34.39,51.39,0.0738,2.5985,0.0284,888.4,1503,0.3772,41.58,30.94,True
⑤ RSI5 < 20（超売られすぎ）,3.0,-3.0,5,12034,0.0738,35.32,34.39,0.0284,12034,35.32,34.39,51.39,0.0738,2.5985,0.0284,888.4,1503,0.3772,41.58,30.94,True
㉚ 中位株(500〜3000円),7.0,-1.0,5,723405,0.0737,5.24,73.54,0.0336,723405,5.24,73.54,24.37,0.0737,2.1919,0.0336,53282.5,82276,0.1124,6.36,74.01,True
㉚ 中位株(500〜3000円),5.0,-5.0,5,723405,0.0734,18.45,17.14,0.0216,723405,18.45,17.14,50.36,0.0734,3.3962,0.0216,53076.1,82276,0.1085,21.5,19.81,True
⑦ RSI5 < 10（極端売られすぎ）,5.0,-1.0,2,1909,0.0733,6.5,60.76,0.0416,1909,6.5,60.76,32.32,0.0733,1.7627,0.0416,139.9,228,0.2675,8.77,55.7,True
㊱ MA200割れ(-10%以下),7.0,-1.5,3,156276,0.0733,6.15,59.92,0.0294,156276,6.15,59.92,33.08,0.0733,2.4902,0.0294,11452.0,13678,-0.0558,6.46,65.57,False
㊸ 直近5日-3% + 月曜除外,5.0,-1.5,5,26510,0.0732,18.4,69.42,0.0283,26510,18.4,69.42,28.65,0.0732,2.5912,0.0283,1940.6,5188,-0.0036,17.14,70.12,False
⑭ 52週安値圏20%以内,7.0,-2.0,3,180210,0.0731,5.65,43.59,0.0286,180210,5.65,43.59,40.18,0.0731,2.5593,0.0286,13173.2,13293,-0.0862,6.35,50.21,False
③ RSI5 < 30,7.0,-2.0,3,43169,0.0731,4.8,43.04,0.0293,43169,4.8,43.04,41.83,0.0731,2.4916,0.0293,3155.6,5817,0.1856,5.17,42.51,True
㉜ 水・木 + DVS>10,5.0,-1.0,3,357600,0.073,7.25,66.2,0.0395,357600,7.25,66.2,29.86,0.073,1.8466,0.0395,26090.7,47235,0.0377,8.17,68.33,True
⑦ RSI5 < 10（極端売られすぎ）,3.0,-1.0,5,1909,0.0729,22.37,67.57,0.0434,1909,22.37,67.57,29.7,0.0729,1.6811,0.0434,139.2,215,0.2877,28.37,61.4,True
⑭ 52週安値圏20%以内,7.0,-1.5,3,180210,0.0727,5.0,54.23,0.0312,180210,5.0,54.23,35.43,0.0727,2.3323,0.0312,13097.6,13293,-0.0708,5.33,59.96,False
㉜ 水・木 + DVS>10,10.0,-3.0,2,357600,0.0725,1.61,19.27,0.0287,357600,1.61,19.27,47.0,0.0725,2.5298,0.0287,25921.2,47235,0.0917,2.44,23.48,True
㉛ 高位株(3000円〜),7.0,-2.0,3,153282,0.0724,4.82,43.8,0.0288,153282,4.82,43.8,41.6,0.0724,2.5133,0.0288,11099.5,37343,0.159,7.24,47.86,True
⑰ RSI5<20 + DVS>20,5.0,-2.0,2,1727,0.0724,8.86,35.09,0.033,1727,8.86,35.09,42.79,0.0724,2.1912,0.033,125.0,246,0.2575,11.38,36.59,True
㉔ RSI5<20 + 月曜除外,7.0,-1.5,2,9742,0.0722,2.84,45.59,0.0354,9742,2.84,45.59,40.42,0.0722,2.0393,0.0354,702.9,1330,0.1614,3.53,45.71,True
㊱ MA200割れ(-10%以下),5.0,-1.5,5,156276,0.0722,16.41,66.38,0.0288,156276,16.41,66.38,30.21,0.0722,2.5089,0.0288,11278.6,13522,-0.0941,16.38,71.59,False
㉟ MA200割れ(-5%以下),10.0,-1.0,3,269062,0.0721,1.75,68.92,0.0334,269062,1.75,68.92,27.16,0.0721,2.1631,0.0334,19412.0,22090,-0.0165,2.07,73.4,False
② RSI5 < 40（現行）,7.0,-1.5,3,101385,0.0719,4.23,53.35,0.0317,101385,4.23,53.35,36.93,0.0719,2.2685,0.0317,7286.0,14065,0.0981,4.49,54.55,True
㉔ RSI5<20 + 月曜除外,3.0,-1.0,5,9742,0.0716,22.17,68.15,0.0426,9742,22.17,68.15,29.96,0.0716,1.682,0.0426,698.0,1290,0.2114,26.51,64.65,True
㉒ 月曜エントリー除外,7.0,-2.0,3,855864,0.0716,4.86,42.66,0.0287,855864,4.86,42.66,41.52,0.0716,2.4928,0.0287,61283.3,112949,0.0906,6.27,46.81,True
⑤ RSI5 < 20（超売られすぎ）,7.0,-5.0,3,12034,0.0716,6.84,13.03,0.0223,12034,6.84,13.03,49.58,0.0716,3.2109,0.0223,861.3,1543,0.3888,8.23,13.35,True
㉑ スコア>=20 + RSI5<20,7.0,-5.0,3,12034,0.0716,6.84,13.03,0.0223,12034,6.84,13.03,49.58,0.0716,3.2109,0.0223,861.3,1543,0.3888,8.23,13.35,True
㉟ MA200割れ(-5%以下),7.0,-2.0,3,269062,0.0715,5.55,44.9,0.0278,269062,5.55,44.9,40.38,0.0715,2.5773,0.0278,19245.1,22090,-0.1004,6.32,52.43,False
⑦ RSI5 < 10（極端売られすぎ）,5.0,-1.5,2,1909,0.0713,7.7,46.99,0.0353,1909,7.7,46.99,39.55,0.0713,2.0199,0.0353,136.1,228,0.2994,10.09,41.67,True
㉔ RSI5<20 + 月曜除外,7.0,-1.0,2,9742,0.0713,2.39,59.29,0.04,9742,2.39,59.29,33.33,0.0713,1.7818,0.04,694.7,1330,0.1566,2.93,59.47,True
② RSI5 < 40（現行）,7.0,-1.0,3,101385,0.0712,3.41,66.28,0.0362,101385,3.41,66.28,29.2,0.0712,1.9655,0.0362,7213.8,14065,0.0843,3.62,67.04,True
⑮ 52週安値圏40%以内,10.0,-2.0,3,397726,0.0708,2.33,42.61,0.0268,397726,2.33,42.61,40.45,0.0708,2.6409,0.0268,28159.6,29280,-0.0693,3.16,49.87,False
⑤ RSI5 < 20（超売られすぎ）,10.0,-1.0,2,12034,0.0708,1.15,60.1,0.0372,12034,1.15,60.1,32.61,0.0708,1.902,0.0372,852.6,1563,0.1516,1.02,59.25,True
㉑ スコア>=20 + RSI5<20,10.0,-1.0,2,12034,0.0708,1.15,60.1,0.0372,12034,1.15,60.1,32.61,0.0708,1.902,0.0372,852.6,1563,0.1516,1.02,59.25,True
㉑ スコア>=20 + RSI5<20,5.0,-3.0,3,12034,0.0706,11.97,28.23,0.0263,12034,11.97,28.23,47.35,0.0706,2.6794,0.0263,849.4,1543,0.3575,13.93,27.22,True
⑤ RSI5 < 20（超売られすぎ）,5.0,-3.0,3,12034,0.0706,11.97,28.23,0.0263,12034,11.97,28.23,47.35,0.0706,2.6794,0.0263,849.4,1543,0.3575,13.93,27.22,True
⑰ RSI5<20 + DVS>20,3.0,-3.0,5,1727,0.0705,34.57,32.72,0.0275,1727,34.57,32.72,50.43,0.0705,2.561,0.0275,121.7,239,0.5218,42.68,30.96,True
㉘ 直近5日-10%以下,10.0,-1.0,5,3136,0.0705,8.1,88.81,0.0224,3136,8.1,88.81,11.16,0.0705,3.1502,0.0224,221.0,687,-0.2712,5.68,92.14,False
㉖ 直近5日-3%以下,10.0,-2.0,3,32717,0.0703,4.25,57.21,0.0221,32717,4.25,57.21,34.8,0.0703,3.1878,0.0221,2300.6,6103,0.0599,4.52,57.71,True
㊺ 直近5日-5% + DVS>0 + 月曜除外,10.0,-3.0,1,6080,0.0703,2.55,24.26,0.0246,6080,2.55,24.26,44.39,0.0703,2.8538,0.0246,427.2,1398,0.1726,3.86,24.46,True
㉙ 低位株(〜500円),10.0,-1.5,5,173450,0.0702,4.87,65.67,0.0236,173450,4.87,65.67,27.75,0.0702,2.9692,0.0236,12171.5,17580,-0.0649,5.99,72.37,False
㉚ 中位株(500〜3000円),10.0,-2.0,3,723405,0.0701,1.84,41.97,0.0274,723405,1.84,41.97,41.95,0.0701,2.5591,0.0274,50705.9,82792,0.1287,2.5,44.66,True
③ RSI5 < 30,7.0,-3.0,3,43169,0.0701,5.54,27.63,0.0251,43169,5.54,27.63,46.49,0.0701,2.7957,0.0251,3028.0,5817,0.2173,6.17,28.16,True
㊴ 月末除外(最終2営業日を除く),5.0,-2.0,5,940499,0.07,15.07,51.89,0.0266,940499,15.07,51.89,38.85,0.07,2.6344,0.0266,65851.7,123731,0.0676,17.35,54.95,True
④ RSI5 < 25,5.0,-2.0,3,23523,0.0698,10.19,43.02,0.0296,23523,10.19,43.02,42.62,0.0698,2.3582,0.0296,1641.0,3148,0.2034,11.12,41.58,True
② RSI5 < 40（現行）,7.0,-2.0,3,101385,0.0697,4.77,42.71,0.028,101385,4.77,42.71,41.71,0.0697,2.4856,0.028,7063.6,14065,0.1268,5.31,44.31,True
⑦ RSI5 < 10（極端売られすぎ）,10.0,-1.0,1,1909,0.0696,1.1,46.83,0.0415,1909,1.1,46.83,36.09,0.0696,1.6796,0.0415,133.0,233,0.0903,0.43,44.64,True
④ RSI5 < 25,5.0,-1.5,3,23523,0.0696,9.1,53.4,0.0325,23523,9.1,53.4,37.6,0.0696,2.1424,0.0325,1636.5,3148,0.1736,9.53,51.49,True
㉕ RSI5<15 + DVS>0 + 月曜除外,5.0,-1.5,3,2195,0.0696,9.84,53.26,0.0322,2195,9.84,53.26,37.27,0.0696,2.1599,0.0322,152.7,329,0.3207,11.85,51.06,True
⑲ RSI5<15 + DVS>0,7.0,-1.5,2,2700,0.0695,4.15,46.63,0.0324,2700,4.15,46.63,38.63,0.0695,2.1456,0.0324,187.6,394,0.1063,4.82,50.0,True
⑮ 52週安値圏40%以内,10.0,-5.0,3,397726,0.0695,3.12,11.12,0.0213,397726,3.12,11.12,47.46,0.0695,3.2619,0.0213,27661.7,29280,-0.1904,4.36,16.73,False
① 全シグナル（ベースライン）,10.0,-3.0,3,1050137,0.0693,2.57,27.05,0.0236,1050137,2.57,27.05,45.43,0.0693,2.9319,0.0236,72773.6,137881,0.1169,3.75,32.1,True
㉓ 水・木のみ,5.0,-5.0,3,428380,0.0691,12.22,11.19,0.0235,428380,12.22,11.19,50.24,0.0691,2.9393,0.0235,29621.4,56155,-0.0704,14.71,14.96,False
⑲ RSI5<15 + DVS>0,5.0,-1.5,3,2700,0.0691,10.44,53.93,0.0316,2700,10.44,53.93,36.56,0.0691,2.1854,0.0316,186.5,388,0.2414,10.82,52.06,True
㉞ RSI5<10 + 水・木,1.5,-3.0,5,778,0.0688,60.8,25.71,0.035,778,60.8,25.71,64.91,0.0688,1.9633,0.035,53.5,95,0.181,61.05,20.0,True
㉑ スコア>=20 + RSI5<20,3.0,-2.0,5,12034,0.0687,30.97,48.28,0.0307,12034,30.97,48.28,44.33,0.0687,2.2371,0.0307,826.8,1503,0.3163,36.39,43.38,True
⑤ RSI5 < 20（超売られすぎ）,3.0,-2.0,5,12034,0.0687,30.97,48.28,0.0307,12034,30.97,48.28,44.33,0.0687,2.2371,0.0307,826.8,1503,0.3163,36.39,43.38,True
㊳ 月初め(1〜3営業日),7.0,-1.5,5,155548,0.0687,7.52,64.12,0.0262,155548,7.52,64.12,30.8,0.0687,2.6236,0.0262,10689.0,19116,0.7942,12.29,54.54,True
④ RSI5 < 25,7.0,-5.0,3,23523,0.0686,6.5,12.52,0.0217,23523,6.5,12.52,49.64,0.0686,3.1657,0.0217,1613.6,3148,0.2308,7.43,13.53,True
㊶ 直近5日-5% + DVS>0,7.0,-1.0,1,7435,0.0686,3.34,63.01,0.0358,7435,3.34,63.01,30.24,0.0686,1.9162,0.0358,509.9,1664,0.0576,3.55,62.56,True
① 全シグナル（ベースライン）,10.0,-2.0,3,1050137,0.0686,2.19,43.07,0.0261,1050137,2.19,43.07,40.89,0.0686,2.6292,0.0261,72046.4,137881,0.1192,3.13,47.18,True
㊹ 直近5日-5% + 水・木,7.0,-1.0,5,4781,0.0685,10.46,83.02,0.0267,4781,10.46,83.02,16.63,0.0685,2.5658,0.0267,327.4,1003,-0.0382,8.87,82.95,False
⑥ RSI5 < 15,5.0,-1.0,3,5431,0.0685,8.08,66.38,0.0366,5431,8.08,66.38,28.98,0.0685,1.868,0.0366,371.8,683,0.313,9.52,61.79,True
㉓ 水・木のみ,10.0,-1.0,2,428380,0.0685,0.98,60.03,0.0368,428380,0.98,60.03,33.05,0.0685,1.8604,0.0368,29334.6,56155,0.0799,1.38,62.19,True
㉞ RSI5<10 + 水・木,7.0,-2.0,1,778,0.0685,1.93,21.34,0.0384,778,1.93,21.34,46.4,0.0685,1.7826,0.0384,53.3,98,0.0777,1.02,14.29,True
⑰ RSI5<20 + DVS>20,10.0,-1.5,2,1727,0.0684,1.8,46.67,0.0301,1727,1.8,46.67,37.81,0.0684,2.276,0.0301,118.2,246,0.2839,2.44,46.75,True
㊷ 直近5日-5% + RSI5<20,5.0,-5.0,5,3526,0.0683,32.93,31.85,0.0162,3526,32.93,31.85,50.79,0.0683,4.2128,0.0162,240.9,547,0.3215,33.82,28.52,True
㊸ 直近5日-3% + 月曜除外,7.0,-1.0,2,26510,0.0683,4.31,70.23,0.0329,26510,4.31,70.23,26.64,0.0683,2.0787,0.0329,1811.3,5277,-0.0339,3.92,72.39,False
⑮ 52週安値圏40%以内,7.0,-1.0,5,397726,0.0682,5.69,73.66,0.0308,397726,5.69,73.66,23.77,0.0682,2.2112,0.0308,27108.6,28983,-0.0503,5.89,77.4,False
㊵ 月初め + DVS>0,7.0,-2.0,5,142489,0.0681,8.72,54.79,0.0233,142489,8.72,54.79,36.31,0.0681,2.9187,0.0233,9699.3,17448,0.9295,14.19,45.68,True
㊸ 直近5日-3% + 月曜除外,5.0,-2.0,5,26510,0.0678,21.52,61.55,0.0232,26510,21.52,61.55,34.49,0.0678,2.92,0.0232,1797.4,5188,-0.0024,20.24,62.24,False
⑦ RSI5 < 10（極端売られすぎ）,10.0,-2.0,1,1909,0.0678,1.57,22.52,0.0332,1909,1.57,22.52,42.8,0.0678,2.0436,0.0332,129.4,233,0.1172,0.43,19.31,True
㉝ 水・木 + RSI5<20,3.0,-1.0,1,4841,0.0677,6.92,43.03,0.0542,4841,6.92,43.03,42.26,0.0677,1.2477,0.0542,327.5,691,0.1042,7.38,43.27,True
⑥ RSI5 < 15,10.0,-1.0,2,5431,0.0677,1.51,60.19,0.0347,5431,1.51,60.19,31.78,0.0677,1.9505,0.0347,367.8,695,0.2433,1.29,58.56,True
⑤ RSI5 < 20（超売られすぎ）,10.0,-2.0,2,12034,0.0676,1.55,35.16,0.0288,12034,1.55,35.16,43.46,0.0676,2.3476,0.0288,813.7,1563,0.2012,1.86,35.0,True
㉚ 中位株(500〜3000円),10.0,-3.0,3,723405,0.0676,2.15,26.02,0.0237,723405,2.15,26.02,46.37,0.0676,2.8477,0.0237,48918.3,82792,0.1216,3.0,29.65,True
㉑ スコア>=20 + RSI5<20,10.0,-2.0,2,12034,0.0676,1.55,35.16,0.0288,12034,1.55,35.16,43.46,0.0676,2.3476,0.0288,813.7,1563,0.2012,1.86,35.0,True
㉞ RSI5<10 + 水・木,3.0,-1.5,1,778,0.0675,9.51,30.08,0.0466,778,9.51,30.08,46.27,0.0675,1.448,0.0466,52.5,98,0.1664,14.29,23.47,True
⑭ 52週安値圏20%以内,5.0,-1.0,5,180210,0.0674,11.05,72.87,0.0331,180210,11.05,72.87,24.58,0.0674,2.0344,0.0331,12150.3,13149,-0.0435,10.76,76.03,False
① 全シグナル（ベースライン）,7.0,-1.0,5,1050137,0.0674,5.6,74.17,0.0305,1050137,5.6,74.17,23.69,0.0674,2.2139,0.0305,70828.7,136883,0.0893,6.81,75.46,True
⑧ DVS > 0（買い越し）,10.0,-2.0,3,960484,0.0673,2.2,43.14,0.0256,960484,2.2,43.14,40.88,0.0673,2.6304,0.0256,64680.1,127120,0.1214,3.18,47.23,True
⑧ DVS > 0（買い越し）,10.0,-3.0,3,960484,0.0672,2.58,27.09,0.0229,960484,2.58,27.09,45.4,0.0672,2.933,0.0229,64584.7,127120,0.1199,3.8,32.1,True
㊺ 直近5日-5% + DVS>0 + 月曜除外,5.0,-1.0,1,6080,0.0671,6.74,62.65,0.0376,6080,6.74,62.65,31.0,0.0671,1.7833,0.0376,407.7,1398,0.0454,7.08,61.52,True
⑤ RSI5 < 20（超売られすぎ）,10.0,-1.5,2,12034,0.067,1.37,46.29,0.031,12034,1.37,46.29,39.69,0.067,2.1623,0.031,806.4,1563,0.1562,1.34,45.68,True
㉑ スコア>=20 + RSI5<20,10.0,-1.5,2,12034,0.067,1.37,46.29,0.031,12034,1.37,46.29,39.69,0.067,2.1623,0.031,806.4,1563,0.1562,1.34,45.68,True
⑲ RSI5<15 + DVS>0,3.0,-2.0,5,2700,0.0669,30.15,47.78,0.0301,2700,30.15,47.78,44.52,0.0669,2.2223,0.0301,180.5,384,0.2946,36.98,45.31,True
㉒ 月曜エントリー除外,7.0,-5.0,3,855864,0.0669,6.19,10.93,0.0217,855864,6.19,10.93,48.64,0.0669,3.0823,0.0217,57275.2,112949,0.0767,8.42,14.58,True
㊴ 月末除外(最終2営業日を除く),10.0,-1.0,3,940499,0.0669,1.55,67.06,0.0321,940499,1.55,67.06,28.55,0.0669,2.0883,0.0321,62961.6,124727,0.1043,2.08,68.91,True
㉒ 月曜エントリー除外,7.0,-1.5,3,855864,0.0667,4.27,53.65,0.0293,855864,4.27,53.65,36.66,0.0667,2.2725,0.0293,57068.3,112949,0.0897,5.44,56.78,True
㊺ 直近5日-5% + DVS>0 + 月曜除外,7.0,-2.0,1,6080,0.0667,4.61,38.72,0.0275,6080,4.61,38.72,41.0,0.0667,2.4205,0.0275,405.3,1398,0.0997,5.29,38.13,True
⑲ RSI5<15 + DVS>0,5.0,-3.0,2,2700,0.0666,9.67,21.0,0.0276,2700,9.67,21.0,46.59,0.0666,2.4088,0.0276,179.8,394,0.2126,11.68,22.59,True
⑬ 出来高2倍以上,10.0,-1.0,5,70026,0.0666,4.69,80.48,0.0246,70026,4.69,80.48,18.12,0.0666,2.7061,0.0246,4666.2,8955,0.1176,5.71,81.21,True
㉜ 水・木 + DVS>10,10.0,-1.0,2,357600,0.0664,1.0,60.25,0.0356,357600,1.0,60.25,32.94,0.0664,1.8646,0.0356,23758.7,47235,0.0972,1.44,61.73,True
㉟ MA200割れ(-5%以下),7.0,-5.0,3,269062,0.0663,7.08,12.24,0.0206,269062,7.08,12.24,48.22,0.0663,3.2135,0.0206,17842.9,22090,-0.2621,8.27,18.08,False
㉝ 水・木 + RSI5<20,3.0,-2.0,1,4841,0.0663,8.51,18.38,0.0444,4841,8.51,18.38,49.2,0.0663,1.4933,0.0444,321.1,691,0.1025,9.12,17.95,True
⑭ 52週安値圏20%以内,7.0,-1.0,3,180210,0.0663,4.0,67.25,0.0329,180210,4.0,67.25,27.87,0.0663,2.0157,0.0329,11951.9,13293,-0.0262,4.26,70.96,False
① 全シグナル（ベースライン）,5.0,-3.0,5,1050137,0.0661,17.44,36.6,0.0219,1050137,17.44,36.6,45.23,0.0661,3.0177,0.0219,69403.9,136883,0.0751,20.6,40.68,True
⑯ RSI5<20 + DVS>0,10.0,-2.0,2,6328,0.0661,1.63,35.54,0.0277,6328,1.63,35.54,42.83,0.0661,2.3836,0.0277,418.2,880,0.1415,2.16,37.27,True
㉚ 中位株(500〜3000円),10.0,-1.5,3,723405,0.066,1.6,53.08,0.0282,723405,1.6,53.08,37.16,0.066,2.3381,0.0282,47753.1,82792,0.1286,2.14,54.67,True
⑥ RSI5 < 15,5.0,-3.0,3,5431,0.0658,12.78,28.71,0.0243,5431,12.78,28.71,46.88,0.0658,2.707,0.0243,357.4,683,0.4184,14.49,27.23,True
⑱ RSI5<20 + 出来高1.5倍,7.0,-5.0,2,1737,0.0657,6.74,11.17,0.0212,1737,6.74,11.17,48.59,0.0657,3.097,0.0212,114.1,231,0.3117,7.36,9.52,True
⑮ 52週安値圏40%以内,5.0,-2.0,5,397726,0.0657,15.12,51.5,0.025,397726,15.12,51.5,38.47,0.0657,2.6287,0.025,26117.1,28983,-0.1258,15.74,57.74,False
⑬ 出来高2倍以上,10.0,-3.0,5,70026,0.0657,8.85,49.5,0.0159,70026,8.85,49.5,37.57,0.0657,4.1174,0.0159,4597.9,8955,0.1236,11.4,54.35,True
㉚ 中位株(500〜3000円),5.0,-1.5,5,723405,0.0655,12.74,61.37,0.0279,723405,12.74,61.37,33.52,0.0655,2.3526,0.0279,47406.9,82276,0.1054,14.54,62.26,True
⑨ DVS > 10,10.0,-2.0,3,873764,0.0655,2.2,43.23,0.0249,873764,2.2,43.23,40.85,0.0655,2.6313,0.0249,57228.3,116180,0.1218,3.22,47.27,True
⑲ RSI5<15 + DVS>0,5.0,-2.0,2,2700,0.0654,8.48,34.63,0.0303,2700,8.48,34.63,43.22,0.0654,2.1573,0.0303,176.6,394,0.1927,10.41,37.06,True
㊷ 直近5日-5% + RSI5<20,10.0,-2.0,2,3526,0.0654,3.91,51.59,0.0217,3526,3.91,51.59,36.61,0.0654,3.0123,0.0217,230.6,561,0.2517,4.28,50.27,True
⑦ RSI5 < 10（極端売られすぎ）,3.0,-5.0,5,1909,0.0653,40.34,18.49,0.0212,1909,40.34,18.49,56.16,0.0653,3.0815,0.0212,124.6,215,0.6931,49.77,13.02,True
① 全シグナル（ベースライン）,10.0,-1.5,3,1050137,0.0653,1.9,54.07,0.0272,1050137,1.9,54.07,36.12,0.0653,2.4009,0.0272,68529.2,137881,0.1165,2.68,57.04,True
④ RSI5 < 25,10.0,-1.5,2,23523,0.0653,1.22,46.12,0.0305,23523,1.22,46.12,39.92,0.0653,2.1385,0.0305,1536.7,3185,0.096,1.26,45.65,True
⑧ DVS > 0（買い越し）,7.0,-1.0,5,960484,0.0653,5.59,74.26,0.0295,960484,5.59,74.26,23.63,0.0653,2.2128,0.0295,62716.9,126293,0.0907,6.85,75.51,True
㉕ RSI5<15 + DVS>0 + 月曜除外,5.0,-2.0,2,2195,0.0652,7.88,34.03,0.0307,2195,7.88,34.03,43.6,0.0652,2.1231,0.0307,143.1,329,0.2216,10.64,36.47,True
㉟ MA200割れ(-5%以下),7.0,-1.5,3,269062,0.0651,4.87,55.77,0.0278,269062,4.87,55.77,35.32,0.0651,2.343,0.0278,17517.6,22090,-0.0818,5.31,62.28,False
④ RSI5 < 25,3.0,-3.0,5,23523,0.065,35.06,34.22,0.0251,23523,35.06,34.22,51.24,0.065,2.5938,0.0251,1529.8,3072,0.2352,38.77,32.81,True
㉜ 水・木 + DVS>10,5.0,-5.0,3,357600,0.0649,12.24,11.16,0.0221,357600,12.24,11.16,50.14,0.0649,2.9403,0.0221,23214.0,47235,-0.032,14.95,14.33,False
㊸ 直近5日-3% + 月曜除外,5.0,-1.0,3,26510,0.0647,11.14,74.22,0.0316,26510,11.14,74.22,24.11,0.0647,2.0503,0.0316,1716.4,5275,0.0058,10.31,75.26,True
㊷ 直近5日-5% + RSI5<20,5.0,-3.0,5,3526,0.0646,28.13,50.65,0.0184,3526,28.13,50.65,41.95,0.0646,3.5126,0.0184,227.8,547,0.2691,28.88,46.25,True
㉝ 水・木 + RSI5<20,3.0,-5.0,1,4841,0.0645,9.65,2.83,0.0373,4841,9.65,2.83,51.44,0.0645,1.729,0.0373,312.3,691,0.0996,10.56,2.89,True
⑲ RSI5<15 + DVS>0,10.0,-1.0,2,2700,0.0644,1.67,60.85,0.0321,2700,1.67,60.85,30.74,0.0644,2.0085,0.0321,173.8,394,0.1695,2.03,63.71,True
㊱ MA200割れ(-10%以下),7.0,-1.0,3,156276,0.0644,4.89,71.92,0.0302,156276,4.89,71.92,25.1,0.0644,2.1368,0.0302,10070.9,13678,-0.0039,5.18,75.49,False
⑩ DVS > 20（強い買い越し）,10.0,-2.0,3,720307,0.0643,2.28,43.58,0.0243,720307,2.28,43.58,40.67,0.0643,2.6484,0.0243,46327.1,94295,0.1165,3.39,47.81,True
⑱ RSI5<20 + 出来高1.5倍,5.0,-3.0,2,1737,0.0642,11.51,26.02,0.0247,1737,11.51,26.02,46.63,0.0642,2.5966,0.0247,111.6,231,0.2335,12.55,23.38,True
⑧ DVS > 0（買い越し）,10.0,-1.5,3,960484,0.0642,1.91,54.15,0.0267,960484,1.91,54.15,36.1,0.0642,2.402,0.0267,61639.9,127120,0.1202,2.72,57.08,True
⑨ DVS > 10,10.0,-3.0,3,873764,0.0642,2.58,27.17,0.0219,873764,2.58,27.17,45.37,0.0642,2.9342,0.0219,56119.6,116180,0.1214,3.87,32.1,True
㉖ 直近5日-3%以下,7.0,-1.0,3,32717,0.0642,6.05,75.76,0.0284,32717,6.05,75.76,22.5,0.0642,2.2599,0.0284,2099.7,6103,0.0239,5.69,76.29,True
㉞ RSI5<10 + 水・木,7.0,-3.0,1,778,0.0641,2.19,11.44,0.0332,778,2.19,11.44,48.07,0.0641,1.9281,0.0332,49.8,98,-0.0109,1.02,9.18,False
⑥ RSI5 < 15,10.0,-5.0,3,5431,0.0641,3.72,14.07,0.0185,5431,3.72,14.07,48.24,0.0641,3.4692,0.0185,348.2,683,0.4494,4.39,14.06,True
㉝ 水・木 + RSI5<20,3.0,-3.0,1,4841,0.0641,9.21,8.63,0.0397,4841,9.21,8.63,50.65,0.0641,1.6152,0.0397,310.3,691,0.0986,9.99,8.83,True
⑩ DVS > 20（強い買い越し）,10.0,-3.0,3,720307,0.064,2.68,27.45,0.0217,720307,2.68,27.45,45.22,0.064,2.9548,0.0217,46082.3,94295,0.113,4.08,32.7,True
㉝ 水・木 + RSI5<20,2.0,-3.0,2,4841,0.0639,35.55,18.07,0.0339,4841,35.55,18.07,55.01,0.0639,1.8842,0.0339,309.4,691,0.1399,39.22,17.66,True
⑰ RSI5<20 + DVS>20,5.0,-1.5,3,1727,0.0638,10.42,53.16,0.0292,1727,10.42,53.16,36.25,0.0638,2.1823,0.0292,110.1,244,0.3733,12.3,47.95,True
④ RSI5 < 25,7.0,-1.0,2,23523,0.0637,2.43,59.93,0.0355,23523,2.43,59.93,32.93,0.0637,1.7919,0.0355,1497.9,3185,0.0841,2.29,59.4,True
⑥ RSI5 < 15,3.0,-2.0,5,5431,0.0637,30.47,48.26,0.0286,5431,30.47,48.26,44.41,0.0637,2.2287,0.0286,346.0,664,0.3898,37.2,41.57,True
⑮ 52週安値圏40%以内,10.0,-1.5,3,397726,0.0637,2.01,53.58,0.0265,397726,2.01,53.58,35.75,0.0637,2.4081,0.0265,25345.5,29280,-0.052,2.61,59.69,False
㉛ 高位株(3000円〜),10.0,-5.0,3,153282,0.0637,2.69,11.05,0.0197,153282,2.69,11.05,48.3,0.0637,3.2397,0.0197,9766.4,37343,0.2242,4.61,14.99,True
㉛ 高位株(3000円〜),10.0,-3.0,2,153282,0.0635,1.61,18.97,0.0252,153282,1.61,18.97,47.03,0.0635,2.5202,0.0252,9733.6,37525,0.1414,2.46,23.75,True
㊲ MA200上方(+5%以上),5.0,-3.0,5,414127,0.0634,19.72,40.33,0.0201,414127,19.72,40.33,44.7,0.0634,3.1464,0.0201,26240.5,86037,0.1771,23.05,41.76,True
