filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
⑯ RSI5<20 + DVS>0,7.0,-1.5,5,6328,0.1528,7.9,61.47,0.0578,6328,7.9,61.47,33.09,0.1528,2.6456,0.0578,966.9,852,0.3259,9.04,60.21,True
㉖ 直近5日-3%以下,10.0,-2.0,5,32717,0.1525,6.98,64.58,0.042,32717,6.98,64.58,31.09,0.1525,3.6329,0.042,4990.1,6014,0.0376,6.93,65.8,True
④ RSI5 < 25,7.0,-1.5,5,23523,0.1523,7.57,61.78,0.0577,23523,7.57,61.78,33.23,0.1523,2.6377,0.0577,3581.9,3072,0.252,7.94,60.16,True
㉝ 水・木 + RSI5<20,7.0,-3.0,2,4841,0.1521,3.68,19.81,0.0618,4841,3.68,19.81,49.66,0.1521,2.4587,0.0618,736.2,691,0.2549,4.78,20.26,True
㊹ 直近5日-5% + 水・木,10.0,-2.0,5,4781,0.152,9.71,70.76,0.0383,4781,9.71,70.76,26.38,0.152,3.9665,0.0383,726.8,1003,-0.1564,9.07,73.78,False
㉜ 水・木 + DVS>10,7.0,-1.5,5,357600,0.1515,7.43,61.68,0.0575,357600,7.43,61.68,33.07,0.1515,2.6358,0.0575,54180.9,46893,0.0906,8.89,66.22,True
㉞ RSI5<10 + 水・木,3.0,-3.0,2,778,0.1513,22.37,19.28,0.0712,778,22.37,19.28,52.7,0.1513,2.1253,0.0712,117.7,98,0.3843,25.51,17.35,True
⑱ RSI5<20 + 出来高1.5倍,5.0,-3.0,3,1737,0.1512,16.06,32.58,0.0518,1737,16.06,32.58,47.21,0.1512,2.9194,0.0518,262.6,227,0.3721,16.74,29.07,True
㉒ 月曜エントリー除外,10.0,-2.0,5,855864,0.1508,3.96,52.96,0.0484,855864,3.96,52.96,37.5,0.1508,3.1161,0.0484,129026.9,111953,0.1719,5.3,56.6,True
㉝ 水・木 + RSI5<20,7.0,-2.0,2,4841,0.1503,3.18,33.05,0.0675,4841,3.18,33.05,46.19,0.1503,2.227,0.0675,727.8,691,0.2789,4.34,33.14,True
㉝ 水・木 + RSI5<20,10.0,-5.0,2,4841,0.1502,2.09,8.35,0.0528,4841,2.09,8.35,51.04,0.1502,2.8471,0.0528,727.1,691,0.3078,2.75,8.1,True
㉝ 水・木 + RSI5<20,10.0,-1.5,2,4841,0.1501,1.45,43.92,0.0689,4841,1.45,43.92,42.04,0.1501,2.1764,0.0689,726.4,691,0.2979,1.74,42.98,True
㉔ RSI5<20 + 月曜除外,10.0,-1.5,3,9742,0.15,2.05,53.3,0.0604,9742,2.05,53.3,37.55,0.15,2.484,0.0604,1461.1,1330,0.3193,2.41,51.05,True
