n,W平均,中央値,勝率,stdev,rule,period,per_day
1533,-0.014,-0.1,47.7,4.48,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 売買代金≥100億,TRAIN,
12556,-0.094,-0.2,43.6,5.43,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 中型(500-3000円),TRAIN,
2224,-0.198,-0.2,43.6,3.88,E10: 反転前兆: 連騰0 & dayret<-3 & 下ヒゲ長 × 大型(≥3000円),TRAIN,
4367,0.761,0.74,59.1,24.09,R1 (gap≤-2 & MA25≤-5) × 全件,VAL,
3765,0.771,0.776,59.0,25.84,R1 (gap≤-2 & MA25≤-5) × 売買代金≥3億,VAL,
2571,0.846,0.805,59.9,30.75,R1 (gap≤-2 & MA25≤-5) × 売買代金≥10億,VAL,
1580,0.91,0.884,61.0,29.75,R1 (gap≤-2 & MA25≤-5) × 売買代金≥30億,VAL,
692,0.679,0.629,59.0,15.2,R1 (gap≤-2 & MA25≤-5) × 売買代金≥100億,VAL,
3027,0.849,0.758,60.1,27.9,R1 (gap≤-2 & MA25≤-5) × 中型(500-3000円),VAL,
1340,0.562,0.67,56.9,10.77,R1 (gap≤-2 & MA25≤-5) × 大型(≥3000円),VAL,
323,1.023,0.654,60.4,7.81,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 全件,VAL,
301,0.95,0.587,59.8,8.02,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 売買代金≥3億,VAL,
219,0.937,0.587,60.7,9.15,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 売買代金≥10億,VAL,
132,0.692,0.407,56.1,11.5,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 売買代金≥30億,VAL,
74,0.936,0.557,59.5,14.93,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 売買代金≥100億,VAL,
227,1.086,0.558,61.2,9.01,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 中型(500-3000円),VAL,
96,0.874,0.973,58.3,3.56,R2 (gap≤-3 & MA25≤-8 & dayret≤-3) × 大型(≥3000円),VAL,
3399,0.713,0.924,57.8,27.29,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 全件,VAL,
3073,0.725,0.961,57.7,28.58,E7: 高ボラ+ギャップダウン (atr top10% & gap≤-2) × 売買代金≥3億,VAL,
