n,W平均,中央値,勝率,stdev,rule,exit,period,per_day
7764,-0.197,-0.2,42.0,7.27,R4: 反転 composite (上位5%),E1: T+1寄付,VAL,55.46
7764,-0.337,-0.34,44.7,8.07,R4: 反転 composite (上位5%),E2: T+1終値,VAL,55.46
7764,-0.291,-1.858,41.0,7.62,R4: 反転 composite (上位5%),E3: TP+3.0/SL-2.0/期日T+2,VAL,55.46
1553,-0.171,-0.2,42.5,9.3,R4b: 反転 composite (上位1%),E1: T+1寄付,VAL,11.09
1553,-0.504,-0.664,43.1,10.56,R4b: 反転 composite (上位1%),E2: T+1終値,VAL,11.09
1553,-0.385,-2.2,38.4,9.55,R4b: 反転 composite (上位1%),E3: TP+3.0/SL-2.0/期日T+2,VAL,11.09
894,0.034,-0.152,45.4,3.17,R5: Stage1強+gap- (s1>=80 & gap≤-1),E1: T+1寄付,VAL,6.39
894,-0.349,-0.561,42.7,5.05,R5: Stage1強+gap- (s1>=80 & gap≤-1),E2: T+1終値,VAL,6.39
894,-0.229,-2.2,41.4,3.81,R5: Stage1強+gap- (s1>=80 & gap≤-1),E3: TP+3.0/SL-2.0/期日T+2,VAL,6.39
27156,-0.14,-0.2,41.8,3.53,R6: 現行 Stage1 (s1>=60),E1: T+1寄付,VAL,193.97
27156,-0.248,-0.228,44.5,4.36,R6: 現行 Stage1 (s1>=60),E2: T+1終値,VAL,193.97
27156,-0.195,-0.527,43.6,4.08,R6: 現行 Stage1 (s1>=60),E3: TP+3.0/SL-2.0/期日T+2,VAL,193.97
10137,0.191,-0.024,49.5,4.17,R7: 上ヒゲ+高ボラ,E1: T+1寄付,VAL,72.41
10137,0.106,0.122,51.1,6.02,R7: 上ヒゲ+高ボラ,E2: T+1終値,VAL,72.41
10137,0.067,-2.2,45.4,4.66,R7: 上ヒゲ+高ボラ,E3: TP+3.0/SL-2.0/期日T+2,VAL,72.41
1024,0.625,0.474,56.3,30.58,R8: 反転 + 上ヒゲ無,E1: T+1寄付,VAL,7.31
1024,0.698,0.913,59.1,30.6,R8: 反転 + 上ヒゲ無,E2: T+1終値,VAL,7.31
1024,1.339,2.8,67.3,30.41,R8: 反転 + 上ヒゲ無,E3: TP+3.0/SL-2.0/期日T+2,VAL,7.31
