limit_pct,n_signals,n_taken,participate_pct,ev_when_taken,win_rate,tp_rate,sl_rate,ev_per_signal,total_pnl_pct
-5.5,40219,2590,6.44,1.1078,53.86,35.87,33.4,0.0713,2869.19
-5.25,40219,2838,7.06,0.9435,52.82,33.58,33.65,0.0666,2677.53
-5.0,40219,3125,7.77,0.8056,51.81,31.81,33.89,0.0626,2517.54
-4.75,40219,3469,8.63,0.6787,51.17,29.84,34.02,0.0585,2354.34
-4.5,40219,3856,9.59,0.5466,49.71,27.8,33.58,0.0524,2107.81
-0.7,40219,24479,60.86,-0.2228,44.63,9.96,19.67,-0.1356,-5454.43
